year,site,previous_crop,longitude,latitude
2014,DEH1,soybean,-75.204048,38.637405
2014,GAH1,cotton,-83.555016,31.506544
2014,IAH1,soybean,-93.696188,41.99653
2014,IAH1,soybean,-93.696188,41.99653
2014,IAH1,soybean,-93.696188,41.99653
2014,IAH2,soybean,-94.727606,42.066206
2014,IAH3,soybean,-92.259751,41.98713
2014,IAH4,soybean,-91.486943,41.198645
2014,ILH1,soybean,-88.233184,40.061135
2014,INH1,soybean,-87.006,40.488
2014,MNH1,soybean,-93.53409096,44.06971707
2014,MOH1,soybean,-92.20997,38.898702
2014,MOH2,soybean,-92.352163,38.928745
2014,NCH1,wheat/double crop soybean,-77.57159444,35.29921111
2014,NEH1,soybean,-96.656687,40.834392
2014,NEH2,wheat,-100.749467,41.052978
2014,NEH3,wheat,-101.99598,41.16353
2014,NYH1,corn,-76.651654,42.728765
2014,NYH2,soybean,-76.65,42.73
2014,ONH1,wheat,-80.42696111,43.497025
2014,ONH2,soybean,-81.88311111,42.45419722
2014,TXH1,wheat,-96.43394444,30.54684444
2014,TXH2,NA,-101.9494444,34.18466667
2014,WIH1,soybean,-89.53098611,43.05706111
2015,DEH1,Lima beans followed by rye cover crop,-75.465973,38.629977
2015,GAH1,corn,-83.554962,31.506502
2015,IAH1,soybean,-93.69447028,41.99825412
2015,IAH3,soybean,-92.24139608,41.97577808
2015,IAH4,soybean,-91.4951794,41.19981657
2015,ILH1,soybean,-88.233648,40.060306
2015,INH1,soybean,-87.00056,40.47666
2015,KSH1,sorghum,-96.605189,39.215864
2015,MNH1,soybean,-93.534855,44.070989
2015,MOH1,soybean,-92.20833333,38.89608333
2015,MOH2,soybean,-92.20758333,38.89853333
2015,NCH1,wheat/double crop soybean,-77.56711667,35.29597778
2015,NEH1,NA,-96.417261,41.166356
2015,NEH2,Winter wheat,-100.746632,41.050974
2015,NEH3,Winter wheat,-101.988317,41.158406
2015,NEH4,NA,-96.417192,41.167022
2015,NYH2,soybean,-76.653275,42.732712
2015,NYH3,Fallow most of 2014 winter planted in fall of 2014 then sprayed with Glystar 24 floz/a on 5/3/15  and killed spring of 2015 spray,-76.656229,42.723512
2015,OHH1,soybean,-83.664387,39.85542
2015,ONH1,wheat,-80.448907,43.497347
2015,ONH2,soybean,-81.880906,42.454331
2015,SDH1,wheat,-102.92972,44.20888
2015,TXH1,corn,-96.43468,30.546769
2015,WIH1,soybean,-89.52875,43.054433
