year,site,soilpH,om_pct,soilk_ppm,soilp_ppm
2015,IAH1_2015,5.3,3.2,118,34
2015,IAH3_2015,6.5,3.4,114,38
2015,IAH4_2015,6.4,4.4,95,42
2015,INH1_2015,6.1,2.9,86,14
2015,KSH1_2015,6.5,2.1,145,11
2015,MNH1_2015,6.2,4.2,109,19
2015,MOH1_2015,6.4,2.3,104,18
2015,MOH2_2015,7.1,1.8,93.5,38.5
2015,NEH2_2015,5.8,1.6,330,40
2015,NEH3_2015,6.4,2,455,27
2015,NYH2_2015,7.6,2.5,39,13
2015,NYH3_2015,7.8,2.4,49,21
2015,SDH1_2015,6.5,3,316,26
2015,WIH1_2015,6.9,3.4,142,43
2015,WIH2_2015,6.4,3.1,200,82
2016,ARH1_2016,NA,NA,123,40
2016,ARH2_2016,NA,NA,76,26
2016,DEH1_2016,5.7,2.3,174,157
2016,GAH1_2016,6.6,1,164,128
2016,GAH2_2016,5.8,2.7,70,10
2016,IAH1_2016,6.8,NA,215,110
2016,IAH2_2016,5.9,NA,159,42
2016,IAH3_2016,6.9,NA,274,70
2016,IAH4_2016,6.7,NA,209,31
2016,ILH1_2016,6,3.7,120,12
2016,INH1_2016,6,2.8,123,6
2016,MIH1_2016,5.7,3,181,31
2016,MNH1_2016,6.2,4.4,188,21
2016,MOH1_2016,6.7,2.2,150,35
2016,NCH1_2016,5.5,2.3,209,138
2016,NYH2_2016,7.3,3.1,76,58
2016,OHH1_2016,5.4,3.7,165,28
2016,ONH1_2016,7.2,2.8,162,98
2016,TXH1_2016,7.9,NA,341,43
2016,TXH2_2016,7.5,NA,422,35
2016,WIH1_2016,7,3.1,130,49
2016,WIH2_2016,6.8,3.1,78,4
2017,COH1_2017,8.3,2.65,404,34
2017,DEH1_2017,6,1.6,120,87
2017,GAH1_2017,6.6,1,95,123
2017,GAH2_2017,6.8,2.6,319,85
2017,IAH1_2017,6.1,4.8,149,23
2017,IAH2_2017,6.2,3.9,99,26
2017,IAH3_2017,6.5,3.7,102,23
2017,IAH4_2017,6.1,4.6,106,11
2017,ILH1_2017,5.9,3.2,137,27
2017,MIH1_2017,6.6,2.7,117.5,22
2017,MNH1_2017,7.4,7.1,130,20
2017,MOH1_2017,6.4,1.9,130,31
2017,NCH1_2017,5.4,3.4,189,66
2017,NEH3_2017,6.6,2.7,690,64
2017,NEH4_2017,5.6,2.4,529,32
2017,NYH1_2017,8,3.2,57,19
2017,NYH2_2017,7.8,3.2,53,13
2017,NYH3_2017,7.9,3.1,55,13
2017,OHH1_2017,6.2,4.2,193,53
2017,ONH2_2017,6.7,4.5,83,19
2017,WIH1_2017,7.1,4.3,326,132
2017,WIH2_2017,6.9,3.2,201,47
2018,GAH2_2018,7.1,2,100.5,11
2018,INH1_2018,6.9,2.9,146,27
2018,MIH1_2018,6.1,2.9,147,21
2018,MNH1_2018,6.5,4.8,161,28
2018,MOH1_1_2018,6.8,2.6,99,15
2018,MOH1_2_2018,7.1,2.9,97,19
2018,NCH1_2018,5.6,1.3,141,56
2018,NYH2_2018,7.1,3.2,59,21
2018,NYH3_2018,7.7,3.6,57,23
2018,ONH1_2017,7.7,2.7,98,95
2018,WIH1_2018,7.1,4.3,326,132
2018,WIH2_2018,6.9,3.2,201,47
2019,DEH1_2019,6.6,2.4,125,136
2019,GAH1_2019,6.6,0.9,84,121
2019,GAH2_2019,5.7,1.2,71,38
2019,GEH1_2019,6.7,3.4,265,89
2019,IAH1_2019,6.3,5.3,177,54
2019,IAH2_2019,5.9,4.7,281,58
2019,IAH3_2019,6.1,4.1,186,45
2019,IAH4_2019,6.3,4.5,177,42
2019,INH1_2019,6.6,3.1,171,14
2019,MIH1_2019,6.9,2.5,128,49
2019,MNH1_2019,6.3,5.2,262,69
2019,MOH1_2019,7,3,143,25
2019,NEH1_2019,6.5,2.2,585,24
2019,NEH2_2019,6.8,2.7,702,40
2019,NYH1_2019,7.7,2.4,65,34
2019,NYH2_2019,7.8,3.6,75,10
2019,NYH3_2019,7.7,3.6,55,8
2019,OHH1_2019,6.6,5,163,43
2019,SCH1_2019,6.7,2.8,129,65
2019,TXH1_2019,8.3,0.6,91,5
2019,TXH2_2019,8.4,1.1,172,11
2019,TXH3_2019,8.3,1.1,162,12
2019,WIH1_2019,7.4,4.9,322,130
2019,WIH2_2019,7.1,4.5,111,40
2020,DEH1_2020,6.1,1.5,117,108
2020,GAH1_2020,6.9,0.9,76,137
2020,GAH2_2020,6.3,2.7,109,16
2020,GEH1_2020,7.1,2.5,250,62
2020,IAH1_2020,6.2,5.1,157,30
2020,INH1_2020,6.6,2.9,105,15
2020,MIH1_2020,6.3,1.8,143,26
2020,MNH1_2020,6.6,3.4,200,54
2020,MOH1_1_2020,6.1,2.4,100,21
2020,MOH1_2_2020,6.1,2.4,100,21
2020,NCH1_2020,5.5,2,182,53
2020,NEH1_2020,5.3,3.9,419,9
2020,NYH2_2020,8.07,3.8,48,9
2020,NYH3_2020,7.9,3.1,50,9
2020,NYS1_2020,8,3.8,59,9
2020,OHH1_2020,6.4,4.3,187,32
2020,SCH1_2020,6.4,4.17,106,50
2020,TXH1_2020,8.1,1.6,285,39
2020,TXH2_2020,8,2.8,538,37
2020,TXH3_2020,7.9,2,340,29
2020,WIH1_2020,5.9,4.2,198,50
2020,WIH2_2020,6.7,4.7,183,68
2020,WIH3_2020,5.3,1,72,93
2021,DEH1_2021,6.1,1,115,103
2021,GAH2_2021,6.1,2.5,196,57
2021,GEH1_2021,7.7,2.2,224,75
2021,IAH1_2021,6.3,5.2,182,71
2021,IAH2_2021,5.7,4.3,284,57
2021,IAH3_2021,5.9,4.1,188,63
2021,IAH4_2021,5.9,3,239,52
2021,INH1_2021,6.9,3.9,165,25
2021,MIH1_2021,7,2.4,106,58
2021,NCH1_2021,6.15,1.2,87.5,62.5
2021,NEH1_2021,6,3.3,172,46
2021,NEH2_2021,5.8,3,147,42
2021,NEH3_2021,5.8,3,147,42
2021,NYH2_2021,8,3.1,53,8
2021,NYH3_2021,7.6,3.5,63,13
2021,NYS1_2021,8.1,4.2,61,18
2021,SCH1_2021,6.25,2.76,112.3,103.1
2021,TXH1_2021,7.9,2,322,16
2021,TXH2_2021,7.8,2.1,311,15
2021,TXH3_2021,8,2.6,411,14
2021,WIH1_2021,6.4,5.1,316,132
2021,WIH2_2021,6.8,4.5,152,64
2021,WIH3_2021,6.1,1,70,74
2022,DEH1_2022,6.6,1.2,136,75
2022,GAH1_2022,6.2,0.9,236,137
2022,GAH2_2022,6.1,2.6,149,45
2022,IAH1_2022,6.2,4.9,197,51
2022,IAH2_2022,5.9,3.9,196,59
2022,IAH3_2022,6.6,4.8,194,47
2022,IAH4_2022,5.9,4.8,297,77
2022,INH1_2022,6.9,3.6,160,23
2022,MIH1_2022,6.4,2,110,34
2022,MOH2_2022,7.7,2.9,96,46
2022,NCH1_2022,6,1.3,108,34
