year,site,replicate,block,hybrid,date_planted,date_harvested,yield_mg_ha,grain_moisture
2014,DEH1,1,1,M0088/LH185,5/5/14,9/29/14,5.721724901,20.8
2014,DEH1,1,1,M0143/LH185,5/5/14,9/29/14,11.33824635,25.8
2014,DEH1,1,1,M0003/LH185,5/5/14,9/29/14,6.54081,20.8
2014,DEH1,1,1,M0035/LH185,5/5/14,9/29/14,10.3668568,23.7
2014,DEH1,1,1,M0052/LH185,5/5/14,9/29/14,10.90881422,19.4
2014,DEH1,1,1,M0008/LH185,5/5/14,9/29/14,11.51011812,16.8
2014,DEH1,1,1,M0001/LH185,5/5/14,9/29/14,11.72274331,19.7
2014,DEH1,1,1,M0014/LH185,5/5/14,9/29/14,1.354874791,10.5
2014,DEH1,1,1,M0352/LH185,5/5/14,9/29/14,7.89468057,17.7
2014,DEH1,1,1,M0325/LH185,5/5/14,9/29/14,8.477578749,18.5
2014,DEH1,1,1,M0012/LH185,5/5/14,9/29/14,8.263814444,18.8
2014,DEH1,1,1,M0296/LH185,5/5/14,9/29/14,12.12044504,18.4
2014,DEH1,1,1,M0042/LH185,5/5/14,9/29/14,11.30819464,18.7
2014,DEH1,1,1,M0027/LH185,5/5/14,9/29/14,6.979939617,18.3
2014,DEH1,1,1,M0083/LH185,5/5/14,9/29/14,14.25023417,19.7
2014,DEH1,1,1,M0099/LH185,5/5/14,9/29/14,11.247581630000001,20.8
2014,DEH1,1,1,M0151/LH185,5/5/14,9/29/14,12.06441097,18.9
2014,DEH1,1,1,M0041/LH185,5/5/14,9/29/14,15.39723509,21.1
2014,DEH1,1,1,M0101/LH185,5/5/14,9/29/14,10.56919247,18.1
2014,DEH1,1,1,M0317/LH185,5/5/14,9/29/14,11.29580674,17.5
2014,DEH1,1,1,M0163/LH185,5/5/14,9/29/14,10.31824199,19.2
2014,DEH1,1,1,M0076/LH185,5/5/14,9/29/14,12.39801489,19.3
2014,DEH1,1,1,M0311/LH185,5/5/14,9/29/14,11.6527026,19.1
2014,DEH1,1,1,M0346/LH185,5/5/14,9/29/14,11.94793626,18.7
2014,DEH1,1,1,M0028/LH185,5/5/14,9/29/14,11.8918872,20.1
2014,DEH1,1,1,M0106/LH185,5/5/14,9/29/14,12.43466897,17.9
2014,DEH1,1,1,M0272/LH185,5/5/14,9/29/14,10.11101262,19.5
2014,DEH1,1,1,M0287/LH185,5/5/14,9/29/14,13.59863674,18.3
2014,DEH1,1,1,M0355/LH185,5/5/14,9/29/14,5.111420468,18.9
2014,DEH1,1,1,M0369/LH185,5/5/14,9/29/14,14.00464203,19.9
2014,DEH1,1,1,M0323/LH185,5/5/14,9/29/14,10.8698744,21
2014,DEH1,1,1,M0085/LH185,5/5/14,9/29/14,11.91249623,19.8
2014,DEH1,1,1,M0118/LH185,5/5/14,9/29/14,9.783561435,20.3
2014,DEH1,1,1,M0186/LH185,5/5/14,9/29/14,12.35790598,21.7
2014,DEH1,1,1,M0030/LH185,5/5/14,9/29/14,10.85635487,22.2
2014,DEH1,1,1,M0075/LH185,5/5/14,9/29/14,11.66710644,19
2014,DEH1,1,1,M0297/LH185,5/5/14,9/29/14,14.10068758,19.9
2014,DEH1,1,1,M0051/LH185,5/5/14,9/29/14,11.05760388,17.8
2014,DEH1,1,1,M0045/LH185,5/5/14,9/29/14,21.63169006,18.3
2014,DEH1,1,1,M0159/LH185,5/5/14,9/29/14,11.01448231,17.8
2014,DEH1,1,1,M0058/LH185,5/5/14,9/29/14,11.01058533,21.6
2014,DEH1,1,1,M0022/LH185,5/5/14,9/29/14,10.81951343,20.5
2014,DEH1,1,1,M0154/LH185,5/5/14,9/29/14,10.23499652,18.9
2014,DEH1,1,2,Z022E0048/LH185,5/5/14,9/29/14,11.71003316,20.4
2014,DEH1,1,2,Z022E0059/LH185,5/5/14,9/29/14,13.56640423,21.6
2014,DEH1,1,2,Z022E0149/LH185,5/5/14,9/29/14,13.10602109,25.2
2014,DEH1,1,2,Z022E0095/LH185,5/5/14,9/29/14,14.82575806,27
2014,DEH1,1,2,Z022E0009/LH185,5/5/14,9/29/14,6.464773936,20.2
2014,DEH1,1,2,Z022E0130/LH185,5/5/14,9/29/14,5.032634038,18.7
2014,DEH1,1,2,Z022E0023/LH185,5/5/14,9/29/14,9.741406612,16.3
2014,DEH1,1,2,Z022E0097/LH185,5/5/14,9/29/14,9.607193141,17.4
2014,DEH1,1,2,Z022E0166/LH185,5/5/14,9/29/14,12.89937626,19
