trees,tree_depth,min_n,loss_reduction,sample_size,mtry,learn_rate
1646,4,15,1.0644859759457184e-5,0.7551930820103735,7,0.0010445076472290493
775,9,25,0.4102750193278534,0.5353405055019539,10,0.0018762246923746725
1394,9,28,0.4411215088606673,0.986237221112242,9,0.004215442115196174
1428,6,19,5.323450243906242e-4,0.6629020333243534,11,0.00827179424344967
1028,3,13,1.5025427786076657e-4,0.5772015647334047,10,0.0017727978490446096
638,6,35,9.57599086079265e-4,0.9236044258787297,12,0.010054155392927564
655,5,33,0.014500178499408567,0.6030448223650455,7,0.024352695087111003
1095,4,28,6.424088701879547e-5,0.9612149966217112,4,0.006140237878599154
1189,6,32,3.0412048395597564e-5,0.5912704271182884,11,0.04469117885367765
1239,8,21,0.02303822937183511,0.8225750568672083,10,0.003705642582168665
1284,6,23,0.07578335872913261,0.6219128211087082,5,0.009523699081883706
1323,7,19,0.003939337738297724,0.90072089091409,8,0.0016407251905872207
410,3,8,0.13055687426494184,0.9096224539598916,11,0.017880643536488657
976,10,38,0.03900627014794098,0.8375795597524848,8,0.042049820543283156
1388,10,17,0.058937928053491115,0.9417781293625012,8,0.01913537685255226
1204,7,5,0.0036188625587103064,0.9287938046327326,5,0.011562732919008533
616,9,27,0.0023904247861171748,0.815690342214657,8,0.002473622104316263
1757,6,12,0.001622344395364728,0.7834202119056135,5,0.004778412317738363
1545,9,19,0.1384170679321446,0.6436179149721284,8,0.0019130203027112745
301,6,34,1.74005564668249,0.7606365197896958,10,0.0015704083437865163
501,5,15,2.5204406892026506e-5,0.6542504207917955,3,0.003499005665240734
601,8,32,24.494155341283946,0.7175757629994769,8,0.007546170916285578
1001,4,29,4.1782839574824716e-5,0.7264783219387755,11,0.0013161197872888087
1341,4,35,3.085129777268234,0.8639127569901757,3,0.002348468454446408
1713,3,13,20.79579203409194,0.9546265415311791,5,0.005648128673212862
1855,10,7,0.009479316936227796,0.5725282073277049,7,0.001999617792767958
564,7,10,0.001778084574404641,0.8505520612280816,5,0.09434630895374464
1230,10,28,4.136283843847631,0.9816264788096305,3,0.03872955871948086
453,8,14,1.9279173060452053e-5,0.6326685854489915,10,0.010753606129176384
934,10,27,2.263753623862933e-4,0.5446328230050859,10,0.07151437731705054
1610,9,26,1.432952612547663e-5,0.8782661768898834,6,0.005378918636439917
389,9,20,0.0013313862246043836,0.7859417670196853,5,0.01601143739415936
1643,6,38,3.8683888057495467e-4,0.5881752241437789,4,0.003002019299225634
457,8,6,0.8482378911962236,0.8059376890631393,7,0.021717169619049077
547,5,12,0.6188286716018842,0.873135027786484,4,0.014180144712525752
801,7,10,8.482938570482707e-4,0.8258510305720848,11,0.007010489556929149
1315,8,25,0.017388169756854595,0.6482136325375177,6,0.07266285656877539
1110,7,40,0.012147614538451803,0.8845073678693733,9,0.008390095421882317
1600,7,33,0.04599757097992077,0.7124323502369225,7,0.0027685406427078955
958,3,18,0.02822738047723231,0.9707721373438836,10,0.02777467466941155
1079,4,36,0.1995453985655799,0.949075796958059,3,0.005900764069813398
854,5,11,87.03395989204608,0.9934344197320752,7,0.06278257904435959
693,8,23,2.6561373553870866e-4,0.6819188319658861,8,0.03343639143976728
356,9,28,31.691851956898414,0.5519658716244158,10,0.06573242458184925
1881,5,34,1.0874544191986855e-4,0.6973046849027742,11,0.08853731226419391
717,5,35,0.281754383899353,0.5663168052933178,6,0.09774850067121095
1695,8,32,65.75816475177278,0.8418260412150994,8,0.04962979491882562
811,5,36,5.805131949770795e-4,0.7377715542807709,6,0.022185402331516585
1584,7,29,5.343931486230027,0.5807003275316674,4,0.003829281281050896
1492,9,8,37.045790086203574,0.6688203330535907,6,0.003330525608110725
1961,5,17,9.532647864841751,0.5004438892111648,4,0.016719176334320844
322,7,16,0.001144495395406278,0.5471053806424606,12,0.011386480147323168
875,6,6,7.842424366049017,0.6272024365456309,8,0.004087968408609291
433,4,16,1.2313891186126812e-4,0.5137437723367475,10,0.002729675424120083
1040,8,10,7.963634588762434e-5,0.9363009011489339,6,0.05413855436292775
1787,5,27,1.3228128839041948,0.7313297334709205,5,0.002283022536683754
1910,6,22,2.673907465773305,0.896835735605564,5,0.018903597380381124
925,7,38,0.9843484881447403,0.8551357814879157,9,0.030815304097181258
1143,9,20,0.16725851200011874,0.8341132371185813,7,0.08628543809170962
729,6,10,3.478031684794851e-5,0.9992479470162652,7,0.0011672937375795764
1835,5,33,12.013944067776471,0.8667497669521254,11,0.0013201363470304443
335,8,39,14.681557761692623,0.6559343724849168,11,0.03671154377523939
506,4,39,0.25665668623569315,0.9149825185455848,8,0.015556902633659634
991,5,21,2.1165098655038543e-4,0.6132216531131417,9,0.012995373059573729
1570,9,22,0.3031548673393503,0.7961746617837344,4,0.0012167465309970951
1685,5,15,84.45274940209188,0.7243339188490063,10,0.0048784282283198714
901,3,39,0.10960094481708993,0.7416326495842077,5,0.001118290226355448
1739,8,19,7.335402682618201,0.7530439254059456,4,0.0032549431888279886
1995,4,9,19.115662883817922,0.8900789324776269,10,0.029196321324559876
1802,3,16,2.4249412823553933,0.7004864283429925,9,0.01360421045855488
1937,3,7,9.247500677588583e-5,0.9780981034075376,6,0.004492416021738443
1175,10,22,0.021857926837431044,0.6173916452738922,6,0.07795742260012327
1768,6,13,0.6782667980167314,0.917827491411008,4,0.0014662595525070897
1370,4,25,0.09084117767346968,0.9588940934778657,9,0.031631825210075314
1528,5,30,6.979034587906164e-4,0.5263739976414945,4,0.04726377497604155
1455,6,37,0.03268896009749399,0.7462794513290283,11,0.02026705554665004
829,8,24,3.334061223556904e-4,0.7704302553040907,11,0.006356055865499221
684,9,31,0.0059205382087284,0.8029596802371088,7,0.02674443730808902
753,6,9,0.0670060150022681,0.8864845913113095,8,0.009937171137964529
