mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,mae,standard,1.3802937142712468,10,0.0034626749590558536,pre0_mod016_post0
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rmse,standard,1.8206399796751502,10,0.005009283915426894,pre0_mod016_post0
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rsq,standard,0.6252301656015424,10,0.002194991662550317,pre0_mod016_post0
6,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,mae,standard,1.3803723341760412,10,0.0034525285028179672,pre0_mod023_post0
6,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,rmse,standard,1.8206886824484445,10,0.005014883391864744,pre0_mod023_post0
6,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,rsq,standard,0.6252115445481496,10,0.002192516228187925,pre0_mod023_post0
7,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,mae,standard,1.3803013711627974,10,0.0034666397408811903,pre0_mod029_post0
7,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rmse,standard,1.8206395329056564,10,0.005017634197746656,pre0_mod029_post0
7,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rsq,standard,0.6252305744816525,10,0.002198113697161148,pre0_mod029_post0
8,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,mae,standard,1.3803101207378017,10,0.003473627546651477,pre0_mod033_post0
8,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,rmse,standard,1.8206435768510187,10,0.005027473108808066,pre0_mod033_post0
8,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,rsq,standard,0.6252285005110825,10,0.002201156712298879,pre0_mod033_post0
8,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,mae,standard,1.380281690873348,10,0.0034628311102051995,pre0_mod038_post0
8,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rmse,standard,1.8206283967343997,10,0.005015345025790755,pre0_mod038_post0
8,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rsq,standard,0.6252347846613405,10,0.00219810797738153,pre0_mod038_post0
12,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,mae,standard,1.3803321024486543,10,0.0034774882323122917,pre0_mod067_post0
12,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rmse,standard,1.8206837130703561,10,0.005026730800148818,pre0_mod067_post0
12,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rsq,standard,0.625211259852185,10,0.002203655188539935,pre0_mod067_post0
14,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,mae,standard,1.380266286199415,10,0.0034643150107461188,pre0_mod076_post0
14,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rmse,standard,1.8206239308453287,10,0.0050158832590530555,pre0_mod076_post0
14,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rsq,standard,0.62523658013069106,10,0.0021991120050784633,pre0_mod076_post0
14,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,mae,standard,1.3802701323086257,10,0.0034633672438302383,pre0_mod078_post0
14,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rmse,standard,1.8206310794560971,10,0.005014534248659534,pre0_mod078_post0
14,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rsq,standard,0.6252336944974397,10,0.002197378421877798,pre0_mod078_post0
14,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,mae,standard,1.3802841206022913,10,0.0034670247527312193,pre0_mod079_post0
14,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rmse,standard,1.82063729360043,10,0.005015677683600901,pre0_mod079_post0
14,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rsq,standard,0.6252310781099172,10,0.0021986636939668167,pre0_mod079_post0
15,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,mae,standard,1.3803169093909502,10,0.0034759943146534596,pre0_mod089_post0
15,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,rmse,standard,1.82067095818909,10,0.005021247999388929,pre0_mod089_post0
15,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,rsq,standard,0.6252176989035363,10,0.0022024478065347077,pre0_mod089_post0
16,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,mae,standard,1.380413161305728,10,0.0034819622551057598,pre0_mod095_post0
16,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,rmse,standard,1.8206903034175923,10,0.005022647173177205,pre0_mod095_post0
16,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,rsq,standard,0.6252105298776687,10,0.0022029488364739597,pre0_mod095_post0
17,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,mae,standard,1.3803709940511057,10,0.003481256456326423,pre0_mod098_post0
17,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,rmse,standard,1.8207095362298769,10,0.005031418235375028,pre0_mod098_post0
17,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,rsq,standard,0.6252018027023742,10,0.0022039622614798177,pre0_mod098_post0
