Variable,Importance
srad_wm2_mean,0.1987463805972357
latitude,0.12920713673840062
longitude,0.11436764500780412
tmax_c_mean,0.1122479472369395
year,0.10785180761617971
om_pct,0.05248449759470389
soilk_ppm,0.04628347694622537
prcp_mm_total,0.04239148649351093
swe_kgm2_mean,0.03532345004329262
tmin_c_mean,0.035297399639285416
soilp_ppm,0.033704806235439116
soilp_h,0.030805019052637463
dayl_s_mean,0.02285635694883596
vp_pa_mean,0.021833511149084515
site_DEH1,0.004772295725425673
previous_crop_Soybean,0.004130306307341633
previous_crop_Wheat,0.003961880091883764
previous_crop_Corn,0.0027007317867081297
site_IAH1,4.571690237980593e-4
site_WIH2,3.6654753501022633e-4
site_IAH4,2.1014823025757379e-4
