mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
5,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,mae,standard,1.3803418214419088,10,0.003469474143719885,pre0_mod018_post0
5,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,rmse,standard,1.8206695973963338,10,0.005041079042598138,pre0_mod018_post0
5,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,rsq,standard,0.6252187554764723,10,0.0022079046301931803,pre0_mod018_post0
5,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,mae,standard,1.3803705950756031,10,0.0034750476549477312,pre0_mod022_post0
5,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,rmse,standard,1.820695998075999,10,0.0050240532020073775,pre0_mod022_post0
5,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,rsq,standard,0.6252058056601341,10,0.002199274635690317,pre0_mod022_post0
6,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,mae,standard,1.380275797678961,10,0.003467006328571715,pre0_mod031_post0
6,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,rmse,standard,1.820628664004389,10,0.0050099563725377804,pre0_mod031_post0
6,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,rsq,standard,0.6252341679592248,10,0.0021944217005109797,pre0_mod031_post0
6,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,mae,standard,1.380329877727236,10,0.0034405966649397888,pre0_mod033_post0
6,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,rmse,standard,1.8206785513707344,10,0.005002768749309444,pre0_mod033_post0
6,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,rsq,standard,0.6252148167622293,10,0.0021964491592509367,pre0_mod033_post0
6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,mae,standard,1.3803046434315416,10,0.0034526482811217964,pre0_mod035_post0
6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,rmse,standard,1.8206137701757028,10,0.005003926030529027,pre0_mod035_post0
6,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,rsq,standard,0.6252398993247057,10,0.0021978317071650686,pre0_mod035_post0
7,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,mae,standard,1.380271549118767,10,0.0034459725958211037,pre0_mod046_post0
7,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,rmse,standard,1.82065396765321,10,0.004984954073111685,pre0_mod046_post0
7,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,rsq,standard,0.6252255939742061,10,0.0021859150999509144,pre0_mod046_post0
8,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,mae,standard,1.3803550624752772,10,0.0034705951023478792,pre0_mod058_post0
8,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,rmse,standard,1.820689779808075,10,0.005016069962162841,pre0_mod058_post0
8,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,rsq,standard,0.6252087571249809,10,0.002200113933544482,pre0_mod058_post0
8,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,mae,standard,1.3803080089986772,10,0.0034664121657297688,pre0_mod060_post0
8,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,rmse,standard,1.8206487003700698,10,0.0050165197067976435,pre0_mod060_post0
8,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,rsq,standard,0.6252263523062169,10,0.002198029005800624,pre0_mod060_post0
10,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,mae,standard,1.3803261779530043,10,0.0035133291128015736,pre0_mod078_post0
10,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,rmse,standard,1.8206401729513113,10,0.005060764140653572,pre0_mod078_post0
10,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,rsq,standard,0.6252291430235315,10,0.002218134360234889,pre0_mod078_post0
12,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,mae,standard,1.3803552245040165,10,0.0034865666725017114,pre0_mod100_post0
12,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,rmse,standard,1.820678677106713,10,0.0050286549965707465,pre0_mod100_post0
12,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,rsq,standard,0.6252149936351856,10,0.002203400036664863,pre0_mod100_post0
