mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,mae,standard,1.3802722793416065,10,0.003456350724438115,pre0_mod021_post0
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rmse,standard,1.8206225006252974,10,0.005009647242117968,pre0_mod021_post0
5,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rsq,standard,0.6252373106638145,10,0.002195470391482513,pre0_mod021_post0
5,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,mae,standard,1.3803096422849903,10,0.003460711249525377,pre0_mod025_post0
5,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,rmse,standard,1.8206537712427697,10,0.005022679831810363,pre0_mod025_post0
5,1816,8,9,0.028418252846918988,4.3595283160067115e-5,0.6924373732507229,rsq,standard,0.6252243588259363,10,0.0022028443991034467,pre0_mod025_post0
6,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,mae,standard,1.3803046270300887,10,0.003460565401331362,pre0_mod035_post0
6,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rmse,standard,1.8206485174744094,10,0.0050103308779275045,pre0_mod035_post0
6,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rsq,standard,0.6252268043812613,10,0.002198577298541836,pre0_mod035_post0
6,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,mae,standard,1.3802765678790483,10,0.0034635739939040335,pre0_mod037_post0
6,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rmse,standard,1.8206212036270388,10,0.005018422719689987,pre0_mod037_post0
6,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rsq,standard,0.6252376003384007,10,0.0021993832833968447,pre0_mod037_post0
9,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,mae,standard,1.3803358809266693,10,0.0034640654130077705,pre0_mod072_post0
9,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rmse,standard,1.8206635872236157,10,0.005010621568095258,pre0_mod072_post0
9,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rsq,standard,0.6252207858663319,10,0.002196304897183442,pre0_mod072_post0
10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,mae,standard,1.3802634002053826,10,0.0034660119284350543,pre0_mod074_post0
10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rmse,standard,1.8206195326464936,10,0.005014903313014185,pre0_mod074_post0
10,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rsq,standard,0.6252380699567164,10,0.002197248851325182,pre0_mod074_post0
10,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,mae,standard,1.3802833425225791,10,0.0034587558830918353,pre0_mod077_post0
10,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rmse,standard,1.820625379333251,10,0.0050102786648610195,pre0_mod077_post0
10,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rsq,standard,0.6252357383161287,10,0.0021966382849731452,pre0_mod077_post0
10,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,mae,standard,1.3802828607415911,10,0.003463097607762254,pre0_mod079_post0
10,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rmse,standard,1.82062337579638,10,0.005011821756009446,pre0_mod079_post0
10,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rsq,standard,0.6252364909262564,10,0.0021975639982606977,pre0_mod079_post0
