mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
10,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,mae,standard,1.38033882610628,10,0.0034716206311312787,pre0_mod017_post0
10,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rmse,standard,1.820673410471346,10,0.005019201077152436,pre0_mod017_post0
10,1336,12,9,0.03370823999885748,5.850661565856759e-4,0.9220080409024376,rsq,standard,0.6252161137912545,10,0.0021986527209940303,pre0_mod017_post0
16,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,mae,standard,1.3803340393531274,10,0.0034742911643176584,pre0_mod032_post0
16,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rmse,standard,1.8206582489736045,10,0.005022468506854214,pre0_mod032_post0
16,1349,8,6,0.05921904219239292,0.35777628289942215,0.9487839707429521,rsq,standard,0.6252225933114319,10,0.002201079617073632,pre0_mod032_post0
18,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,mae,standard,1.3803599273543308,10,0.0034685386250794966,pre0_mod035_post0
18,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,rmse,standard,1.8206749039432146,10,0.005016191922698731,pre0_mod035_post0
18,727,13,9,0.09307754194980637,2.0356244808607786e-4,0.7885511575394776,rsq,standard,0.6252166247975444,10,0.0021965819651137575,pre0_mod035_post0
19,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,mae,standard,1.3803042011270747,10,0.0034708822506414583,pre0_mod039_post0
19,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rmse,standard,1.8206313256620514,10,0.005019420351222188,pre0_mod039_post0
19,1892,33,10,0.011049021079831895,1.7737610214265998e-5,0.9413841426465661,rsq,standard,0.6252334780722001,10,0.002199616723278345,pre0_mod039_post0
29,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,mae,standard,1.380385612987244,10,0.003484317456987564,pre0_mod063_post0
29,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rmse,standard,1.8207138449423146,10,0.005020931985818826,pre0_mod063_post0
29,1875,12,6,0.0694031977438926,1.1309481897616316e-4,0.8653957281226758,rsq,standard,0.6251996786981445,10,0.0022028258511785415,pre0_mod063_post0
36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,mae,standard,1.3802794581598326,10,0.003472289636490786,pre0_mod078_post0
36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rmse,standard,1.8206225887343295,10,0.005017285081916127,pre0_mod078_post0
36,478,23,8,0.05502760651754431,7.861429894046697e-5,0.9716277418762911,rsq,standard,0.6252369482329951,10,0.0021987720534044305,pre0_mod078_post0
36,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,mae,standard,1.3802869239058224,10,0.0034717671452371927,pre0_mod079_post0
36,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rmse,standard,1.8206327652643535,10,0.00501886363356975,pre0_mod079_post0
36,1218,11,9,0.013410432318277172,0.002162948255060051,0.9586671461258083,rsq,standard,0.625232992855184,10,0.002199728504740183,pre0_mod079_post0
37,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,mae,standard,1.3802719693464656,10,0.0034661713999492843,pre0_mod082_post0
37,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rmse,standard,1.8206317681684967,10,0.005012631226433904,pre0_mod082_post0
37,1137,24,6,0.044795427826003445,0.09817899702045196,0.990058916141279,rsq,standard,0.6252332849483175,10,0.0021971815445778835,pre0_mod082_post0
39,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,mae,standard,1.3803808539949496,10,0.0034527332094957505,pre0_mod087_post0
39,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,rmse,standard,1.8206723239305025,10,0.0050141757136264,pre0_mod087_post0
39,1472,28,9,0.06164723471130327,0.0961384539033573,0.611875549601391,rsq,standard,0.625217083481682,10,0.0022002780285343792,pre0_mod087_post0
41,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,mae,standard,1.3804757245013484,10,0.0034935159967614594,pre0_mod092_post0
41,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,rmse,standard,1.8207062672196295,10,0.005040769958066122,pre0_mod092_post0
41,1743,7,8,0.02753718655612255,0.24169467665808791,0.5584620523278135,rsq,standard,0.6252011348570513,10,0.0022088868648249354,pre0_mod092_post0
44,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,mae,standard,1.3803863271813832,10,0.003478225244856753,pre0_mod097_post0
44,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,rmse,standard,1.8207191582300009,10,0.005019698260811339,pre0_mod097_post0
44,843,16,9,0.0243662347107922,2.2918479849351874,0.7757679578149691,rsq,standard,0.6251979549121536,10,0.002202058744998058,pre0_mod097_post0
44,879,25,9,0.08111405386291809,5.662447845367694,0.7031354505405761,mae,standard,1.3803894393099563,10,0.0035180313402683704,pre0_mod098_post0
44,879,25,9,0.08111405386291809,5.662447845367694,0.7031354505405761,rmse,standard,1.8206451046662895,10,0.005052452732309775,pre0_mod098_post0
44,879,25,9,0.08111405386291809,5.662447845367694,0.7031354505405761,rsq,standard,0.6252292478287602,10,0.002209385690791899,pre0_mod098_post0
