Variable,Importance
mean_tmax_deg_c_oct,0.102341717203966
mean_tmax_deg_c_aug,0.06349345476192352
latitude,0.06136750289927401
longitude,0.05177558633781063
year,0.047275341940212
mean_tmax_deg_c_jul,0.04590962125442281
mean_tmin_deg_c_jul,0.04502402005572181
mean_srad_w_m_2_oct,0.039134369944141496
om_pct,0.03486446656839218
mean_vp_pa_apr,0.03307400034373042
mean_tmax_deg_c_may,0.03195711788647865
soilk_ppm,0.023097415828010434
mean_vp_pa_jul,0.022937736087361188
soilp_ppm,0.02130218080481454
sum_prcp_mm_day_jul,0.020935037503334038
sum_prcp_mm_day_may,0.020833992644424832
soilp_h,0.020050480072491245
sum_prcp_mm_day_oct,0.01934045178951747
mean_tmax_deg_c_jun,0.015583501062047806
mean_tmin_deg_c_sep,0.015019777749670766
mean_tmin_deg_c_aug,0.014947974596177463
mean_dayl_s_may,0.014628416418092559
mean_tmax_deg_c_sep,0.013390898010112898
mean_dayl_s_apr,0.012826638052802564
mean_tmax_deg_c_apr,0.012721534076212118
mean_tmin_deg_c_apr,0.012389597699762903
mean_srad_w_m_2_jun,0.011440041861361465
mean_srad_w_m_2_may,0.010872080108204823
mean_srad_w_m_2_sep,0.010836114649262183
sum_prcp_mm_day_sep,0.010783818211399883
mean_vp_pa_sep,0.010270866848286762
mean_srad_w_m_2_jul,0.009927154200984356
sum_prcp_mm_day_jun,0.009148142311191577
sum_prcp_mm_day_apr,0.00894507939664361
mean_vp_pa_jun,0.008933891940220344
mean_tmin_deg_c_jun,0.008468122212248765
mean_vp_pa_may,0.008203901758689432
mean_vp_pa_oct,0.008149457978546704
mean_srad_w_m_2_apr,0.008075008637151783
mean_vp_pa_aug,0.007500072374937168
mean_dayl_s_sep,0.00676495609603425
mean_dayl_s_jun,0.006613659066056964
sum_prcp_mm_day_aug,0.006027320999431406
mean_srad_w_m_2_aug,0.005712909666201641
mean_dayl_s_jul,0.005027459155165657
mean_tmin_deg_c_oct,0.004687187652169368
mean_tmin_deg_c_may,0.004666790669790241
site_DEH1,0.004111976297618533
mean_dayl_s_aug,0.0029384424929607533
previous_crop_Wheat,0.0018311056925019989
mean_dayl_s_oct,0.0015877141149305077
previous_crop_Soybean,0.0014337150345762482
previous_crop_Corn,7.749104484248083e-4
site_IAH4,2.7037349729972527e-5
site_WIH2,1.0372134671279279e-5
site_IAH1,7.859049701122945e-6
