Variable,Importance
mean_tmax_deg_c_oct,0.1851964056817019
latitude,0.067411873514696935
year,0.0643750697937996
longitude,0.054404425173343804
mean_tmax_deg_c_aug,0.05291596276455502
sum_prcp_mm_day_oct,0.05189460792692989
om_pct,0.044423634224390524
mean_vp_pa_apr,0.028079902579997283
mean_tmin_deg_c_jul,0.02669123834340811
sum_prcp_mm_day_jul,0.02262209728019019
mean_srad_w_m_2_oct,0.02203071799884211
soilk_ppm,0.021381338495761917
mean_tmax_deg_c_apr,0.020153247237761372
sum_prcp_mm_day_apr,0.02003677259913726
mean_tmin_deg_c_aug,0.019943289186147014
soilp_h,0.01923864422807743
mean_srad_w_m_2_sep,0.018674695869795314
sum_prcp_mm_day_jun,0.018395537903130543
mean_tmax_deg_c_jul,0.01790469342539457
mean_tmax_deg_c_may,0.017463344424900936
mean_srad_w_m_2_jun,0.016923350161813993
mean_vp_pa_jul,0.01482995047189571
mean_vp_pa_aug,0.014295326197508734
mean_tmin_deg_c_jun,0.013838343235980276
sum_prcp_mm_day_may,0.013341745974596562
soilp_ppm,0.011802886755780609
mean_vp_pa_jun,0.0114267884572119
mean_tmax_deg_c_jun,0.008652397460157597
mean_tmin_deg_c_sep,0.00827800409227826
mean_tmax_deg_c_sep,0.008231039767444718
mean_srad_w_m_2_may,0.007469711746145347
mean_tmin_deg_c_apr,0.007461299306820287
mean_tmin_deg_c_may,0.00745168147063841
mean_dayl_s_apr,0.007414526379460632
mean_srad_w_m_2_apr,0.0073982616664669465
mean_srad_w_m_2_jul,0.006502808811126514
sum_prcp_mm_day_sep,0.006260776072203881
mean_vp_pa_oct,0.0054172100313386274
sum_prcp_mm_day_aug,0.004320885300916031
previous_crop_Soybean,0.003991492510738635
mean_srad_w_m_2_aug,0.0037634958128058365
mean_dayl_s_sep,0.003260614334362844
mean_tmin_deg_c_oct,0.002953795586672927
site_DEH1,0.0028056460235494703
mean_vp_pa_sep,0.002635514483173949
mean_dayl_s_jun,0.0021351555600901003
mean_dayl_s_may,0.0014399560447330055
mean_vp_pa_may,7.774280894802649e-4
mean_dayl_s_aug,6.213049324808875e-4
mean_dayl_s_jul,5.909829686709178e-4
site_IAH4,4.109759634215707e-4
previous_crop_Corn,4.4156324095060605e-5
site_IAH1,5.62955323045147e-6
mean_dayl_s_oct,4.55323451682427e-6
previous_crop_Wheat,3.776510788005561e-6
site_WIH2,1.030055442489772e-6
