trees,tree_depth,min_n,loss_reduction,sample_size,mtry,learn_rate
1150,9,10,12.545902071333726,0.8887430302371893,14,0.02575900820402266
981,7,38,2.369580039302661e-5,0.8731332789990119,5,0.0035602243895922394
1922,6,27,0.0022179932454688776,0.8229063041935054,44,0.017872004776317313
1044,4,36,31.57064158926484,0.6722664507920854,7,0.010287595596054522
1619,4,16,44.95092506557508,0.5144301690122423,8,0.056518168465051866
1462,8,13,4.833407858986051,0.6076890884743382,24,0.013595071747344235
715,6,34,1.0337319376446679e-5,0.7417042023851537,6,0.0028863511754520436
497,6,6,2.0865988880119384e-4,0.8468661141620639,12,0.020780298455477048
356,4,32,1.0745749066042354,0.6219013480159143,28,0.012386971820338375
929,3,25,0.2158148077484522,0.5629386657848954,14,0.009145436177987748
379,10,8,6.1029140832263706e-5,0.7963606095795209,39,0.004696578370590737
620,6,12,2.4078535708749573,0.8098296990967355,34,0.09291548382752525
555,9,20,9.260376327477342e-4,0.6399897253722884,40,0.04202322013987563
1538,9,21,2.5213150535235496e-4,0.7644415872792403,46,0.05320797418650116
1814,7,9,1.3580721316708443e-4,0.94996895629835,42,0.036863876136102466
1431,7,23,0.04444244692935402,0.7108479988722441,32,0.003065989329170015
850,5,6,0.016971117720860133,0.5800507186097092,26,0.08372812837343933
1266,8,37,0.0014465919267016073,0.7302456523990258,16,0.007083153464008191
1854,4,19,0.599338107414555,0.9624574077470849,23,0.007923635489921838
1773,8,39,4.852581379506284e-5,0.6842763311501282,21,0.07307962447072652
657,7,21,0.3665220966828334,0.9718334572544942,42,0.021600416163731897
1196,6,29,0.02068982003545479,0.9129014724904361,30,0.0013369776652601417
1241,9,33,5.331933616172261e-4,0.5838438880241786,10,0.03139977659626229
1690,3,35,0.004793082148757062,0.6506208845996297,49,0.0014372806830840652
1944,5,30,66.47554605467754,0.7757171789339433,27,0.0015922238728889265
1375,5,15,2.1091910144356096,0.9316850046743639,20,0.0019136738151381558
905,8,17,0.007325711347496002,0.5259857498458587,19,0.0011474757896933329
1553,4,24,7.253102605601196,0.9901360794630212,37,0.004532133890618984
796,8,11,0.09734532291996581,0.5407152298178214,48,0.005482069191315713
416,10,26,0.060343574190738845,0.8624331634918538,36,0.002443624372106734
