hybrid,parent_a,parent_b,hybrid_has_slash
B37/MO17,B37,MO17,yes
B37/OH43,B37,OH43,yes
B73/MO17,B73,MO17,yes
B73/PHG35,B73,PHG35,yes
B73/PHM49,B73,PHM49,yes
B73/PHN82,B73,PHN82,yes
B73/TX205,B73,TX205,yes
B73_NC230-041-1-1-1-1/LH195,B73_NC230-041-1-1-1-1,LH195,yes
B73_NC230-126-1-1-1-1/LH195,B73_NC230-126-1-1-1-1,LH195,yes
B73_NC230-127-1-1-1-1/LH195,B73_NC230-127-1-1-1-1,LH195,yes
B73_NC230-128-1-1-1-1/LH195,B73_NC230-128-1-1-1-1,LH195,yes
B73_NC230-129-1-1-1-1/LH195,B73_NC230-129-1-1-1-1,LH195,yes
CG120/LH185,CG120,LH185,yes
CG60/LH162,CG60,LH162,yes
CG60/LH82,CG60,LH82,yes
CG65/LH185,CG65,LH185,yes
CGR01/LH185,CGR01,LH185,yes
CGR01/LH198,CGR01,LH198,yes
CGR01/LH82,CGR01,LH82,yes
CGR03/LH185,CGR03,LH185,yes
