yield_mg_ha,year,site,hybrid,previous_crop,longitude,latitude,soilp_h,om_pct,soilk_ppm,soilp_ppm
13.672477005,2014,DEH1,B37/MO17,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.81081741,2014,DEH1,B37/OH43,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.99413005,2014,DEH1,B73/MO17,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.366741629,2014,DEH1,B73/PHG35,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.19420385,2014,DEH1,B73/PHM49,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.12950788,2014,DEH1,B73/PHN82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.55771235,2014,DEH1,B73/TX205,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.472215271,2014,DEH1,B73_NC230-041-1-1-1-1/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.914015181,2014,DEH1,B73_NC230-126-1-1-1-1/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.90047555,2014,DEH1,B73_NC230-127-1-1-1-1/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.559800865,2014,DEH1,B73_NC230-128-1-1-1-1/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.584204315,2014,DEH1,B73_NC230-129-1-1-1-1/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.8511290615,2014,DEH1,CG120/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.449379089,2014,DEH1,CG60/LH162,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.8581160095,2014,DEH1,CG60/LH82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.088022805,2014,DEH1,CG65/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.86622709,2014,DEH1,CGR01/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.56843417,2014,DEH1,CGR01/LH198,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.7160009,2014,DEH1,CGR01/LH82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.96705157,2014,DEH1,CGR03/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.156127245,2014,DEH1,LH132/LH51,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.52472252,2014,DEH1,LH195/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
7.5898506039999996,2014,DEH1,LH198/LH82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.7057314995,2014,DEH1,LH74/PHG35,Soybean,-75.204048,38.637405,NA,NA,NA,NA
8.5692139685,2014,DEH1,LH74/PHM49,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.954508665,2014,DEH1,LH74/PHN82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.1179546,2014,DEH1,LH74/TX205,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.64029222,2014,DEH1,M0001/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.8768439915,2014,DEH1,M0001/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.523183265,2014,DEH1,M0003/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.527327155,2014,DEH1,M0007/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.51011812,2014,DEH1,M0008/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.972127505,2014,DEH1,M0010/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.960401862,2014,DEH1,M0012/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
1.354874791,2014,DEH1,M0014/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.553794265,2014,DEH1,M0015/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.693261165,2014,DEH1,M0022/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.6132859185,2014,DEH1,M0027/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.630862163,2014,DEH1,M0028/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.016045825,2014,DEH1,M0030/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.000971265,2014,DEH1,M0033/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
