mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
6,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,mae,standard,1.380315685065894,10,0.0034674253049837194,pre0_mod020_post0
6,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,rmse,standard,1.8206546210515362,10,0.005013161168497537,pre0_mod020_post0
6,1254,7,9,0.05040914435122069,1.17991958442568,0.8129904817801434,rsq,standard,0.6252240583153919,10,0.0021943207594666255,pre0_mod020_post0
7,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,mae,standard,1.3802970591396408,10,0.0034676641126034067,pre0_mod026_post0
7,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,rmse,standard,1.8206258140953469,10,0.005033145871989976,pre0_mod026_post0
7,564,10,7,0.09434630895374464,0.001778084574404641,0.8505520612280816,rsq,standard,0.6252369427446376,10,0.002204080374692134,pre0_mod026_post0
8,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,mae,standard,1.3802752645478968,10,0.003460893206471355,pre0_mod035_post0
8,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,rmse,standard,1.820627785846582,10,0.005006699940319225,pre0_mod035_post0
8,1040,10,8,0.05413855436292775,7.963634588762434e-5,0.9363009011489339,rsq,standard,0.6252346372949444,10,0.00219541731505997,pre0_mod035_post0
8,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,mae,standard,1.3803344504979402,10,0.0034244472556849807,pre0_mod036_post0
8,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,rmse,standard,1.8207350887902447,10,0.004993864234762439,pre0_mod036_post0
8,1175,22,10,0.07795742260012327,0.021857926837431044,0.6173916452738922,rsq,standard,0.6251907331090489,10,0.002190463236193633,pre0_mod036_post0
8,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,mae,standard,1.3803558388226262,10,0.0034625563500330567,pre0_mod037_post0
8,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,rmse,standard,1.8206900123246352,10,0.0049987609007559,pre0_mod037_post0
8,1315,25,8,0.07266285656877539,0.017388169756854595,0.6482136325375177,rsq,standard,0.6252081415242093,10,0.0022007845296127724,pre0_mod037_post0
10,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,mae,standard,1.3802788312222534,10,0.0034579346551275487,pre0_mod050_post0
10,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,rmse,standard,1.820654212168484,10,0.004998443655783405,pre0_mod050_post0
10,1143,20,9,0.08628543809170962,0.16725851200011874,0.8341132371185813,rsq,standard,0.6252253909540831,10,0.0021943809408753547,pre0_mod050_post0
10,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,mae,standard,1.3803016900416376,10,0.003471119058088607,pre0_mod051_post0
10,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,rmse,standard,1.8206533543449501,10,0.005014772976705921,pre0_mod051_post0
10,1388,17,10,0.01913537685255226,0.058937928053491115,0.9417781293625012,rsq,standard,0.6252247789441117,10,0.0021980043521613825,pre0_mod051_post0
11,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,mae,standard,1.3802803192192559,10,0.0034728857594601447,pre0_mod058_post0
11,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,rmse,standard,1.8206312219938348,10,0.005017114780686813,pre0_mod058_post0
11,976,38,10,0.042049820543283156,0.03900627014794098,0.8375795597524848,rsq,standard,0.6252329059411583,10,0.0022020935751732016,pre0_mod058_post0
13,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,mae,standard,1.3803202844256828,10,0.003494348569849918,pre0_mod072_post0
13,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,rmse,standard,1.8206065689014344,10,0.005049379497662456,pre0_mod072_post0
13,934,27,10,0.07151437731705054,2.263753623862933e-4,0.5446328230050859,rsq,standard,0.6252427581606766,10,0.002212285184851449,pre0_mod072_post0
16,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,mae,standard,1.3803668866432932,10,0.003484081292478258,pre0_mod094_post0
16,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,rmse,standard,1.8207006027289268,10,0.005024906060201251,pre0_mod094_post0
16,1479,33,9,0.05689245737841321,0.007393075046726682,0.5337895980034955,rsq,standard,0.6252067026426632,10,0.0022042268441334594,pre0_mod094_post0
