Variable,Importance
srad_wm2_mean,0.21325515566937375
latitude,0.12164133616722575
longitude,0.09658698818671932
year,0.09204176855975676
tmax_c_mean,0.08642207046176195
om_pct,0.0619348752997982
soilk_ppm,0.05410801993238765
soilp_ppm,0.05384409249239847
swe_kgm2_mean,0.046085995683186706
tmin_c_mean,0.04385483407073857
prcp_mm_total,0.0425959416683853
vp_pa_mean,0.032777293336128915
soilp_h,0.0293001233162447
dayl_s_mean,0.011825244639232275
previous_crop_Wheat,0.004001510794578313
previous_crop_Soybean,0.0032962805027748846
previous_crop_Corn,0.0024918825777422867
site_DEH1,0.001892530811031972
site_IAH4,8.079029054981852e-4
site_WIH2,7.162160103828323e-4
site_IAH1,5.199369146531783e-4
