year,site,hybrid,n_plots,yield_mg_ha,yield_sd,grain_moisture,date_planted,date_harvested,season_length_days
2014,DEH1,B37/MO17,2,13.672477005000001,NA,19.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,B37/OH43,2,12.81081741,NA,20.65,2014-05-05,2014-09-29,147
2014,DEH1,B73/MO17,2,14.994130049999999,NA,18.45,2014-05-05,2014-09-29,147
2014,DEH1,B73/PHG35,2,12.366741629,NA,17.5,2014-05-05,2014-09-29,147
2014,DEH1,B73/PHM49,2,14.194203850000001,NA,19.75,2014-05-05,2014-09-29,147
2014,DEH1,B73/PHN82,2,13.12950788,NA,20,2014-05-05,2014-09-29,147
2014,DEH1,B73/TX205,2,12.55771235,NA,19.9,2014-05-05,2014-09-29,147
2014,DEH1,B73_NC230-041-1-1-1-1/LH195,2,9.472215271,NA,20.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,B73_NC230-126-1-1-1-1/LH195,2,10.914015181,NA,19.85,2014-05-05,2014-09-29,147
2014,DEH1,B73_NC230-127-1-1-1-1/LH195,2,11.90047555,NA,20.8,2014-05-05,2014-09-29,147
2014,DEH1,B73_NC230-128-1-1-1-1/LH195,2,11.559800865,NA,20.8,2014-05-05,2014-09-29,147
2014,DEH1,B73_NC230-129-1-1-1-1/LH195,2,12.584204315000001,NA,22.15,2014-05-05,2014-09-29,147
2014,DEH1,CG120/LH185,2,9.8511290615,NA,18.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,CG60/LH162,2,10.449379089,NA,18.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,CG60/LH82,2,10.8581160095,NA,17.6,2014-05-05,2014-09-29,147
2014,DEH1,CG65/LH185,2,11.088022805000001,NA,18.25,2014-05-05,2014-09-29,147
2014,DEH1,CGR01/LH185,1,11.86622709,NA,17.1,2014-05-05,2014-09-29,147
2014,DEH1,CGR01/LH198,2,11.56843417,NA,17.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,CGR01/LH82,2,12.716000900000001,NA,18.9,2014-05-05,2014-09-29,147
2014,DEH1,CGR03/LH185,1,10.96705157,NA,23.1,2014-05-05,2014-09-29,147
2014,DEH1,LH132/LH51,2,13.156127245,NA,18.4,2014-05-05,2014-09-29,147
2014,DEH1,LH195/LH185,2,15.524722520000001,NA,20.35,2014-05-05,2014-09-29,147
2014,DEH1,LH198/LH82,2,7.5898506039999996,NA,17.799999999999997,2014-05-05,2014-09-29,147
2014,DEH1,LH74/PHG35,2,11.7057314995,NA,17.5,2014-05-05,2014-09-29,147
2014,DEH1,LH74/PHM49,2,8.5692139685,NA,17.9,2014-05-05,2014-09-29,147
2014,DEH1,LH74/PHN82,2,11.954508664999999,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,LH74/TX205,2,11.117954600000001,NA,18.15,2014-05-05,2014-09-29,147
2014,DEH1,M0001/LH185,2,11.64029222,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0001/LH195,2,10.8768439915,NA,18.4,2014-05-05,2014-09-29,147
2014,DEH1,M0003/LH185,2,9.523183265,NA,19.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,M0007/LH195,2,12.527327155,NA,21.2,2014-05-05,2014-09-29,147
2014,DEH1,M0008/LH185,1,11.51011812,NA,16.8,2014-05-05,2014-09-29,147
2014,DEH1,M0010/LH195,2,11.972127505,NA,19.1,2014-05-05,2014-09-29,147
2014,DEH1,M0012/LH185,2,9.960401862,NA,18.25,2014-05-05,2014-09-29,147
2014,DEH1,M0014/LH185,1,1.354874791,NA,10.5,2014-05-05,2014-09-29,147
2014,DEH1,M0015/LH195,2,11.553794265,NA,21.35,2014-05-05,2014-09-29,147
2014,DEH1,M0022/LH185,2,11.693261165,NA,19.35,2014-05-05,2014-09-29,147
2014,DEH1,M0027/LH185,2,9.6132859185,NA,18.9,2014-05-05,2014-09-29,147
2014,DEH1,M0028/LH185,2,10.630862163,NA,18.65,2014-05-05,2014-09-29,147
2014,DEH1,M0030/LH185,2,13.016045824999999,NA,20.6,2014-05-05,2014-09-29,147
2014,DEH1,M0033/LH195,2,13.000971265,NA,21.1,2014-05-05,2014-09-29,147
2014,DEH1,M0035/LH185,2,9.65828479,NA,19.8,2014-05-05,2014-09-29,147
2014,DEH1,M0039/LH185,1,11.34170866,NA,19.5,2014-05-05,2014-09-29,147
2014,DEH1,M0039/LH195,2,12.67393226,NA,18.5,2014-05-05,2014-09-29,147
2014,DEH1,M0041/LH185,1,15.39723509,NA,21.1,2014-05-05,2014-09-29,147
2014,DEH1,M0042/LH185,1,11.30819464,NA,18.7,2014-05-05,2014-09-29,147
2014,DEH1,M0045/LH185,2,16.204917780000002,NA,19.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,M0051/LH185,2,11.18241963,NA,17.9,2014-05-05,2014-09-29,147
2014,DEH1,M0052/LH185,2,10.8292409,NA,18.95,2014-05-05,2014-09-29,147
2014,DEH1,M0057/LH195,2,12.97714723,NA,20.15,2014-05-05,2014-09-29,147
2014,DEH1,M0058/LH185,2,12.77720596,NA,20.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,M0058/LH195,2,10.963615480000001,NA,20,2014-05-05,2014-09-29,147
2014,DEH1,M0066/LH195,2,13.191844565,NA,20.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0075/LH185,2,11.08997879,NA,17.75,2014-05-05,2014-09-29,147
2014,DEH1,M0076/LH185,2,13.14867053,NA,19.85,2014-05-05,2014-09-29,147
2014,DEH1,M0083/LH185,2,13.50870645,NA,18.7,2014-05-05,2014-09-29,147
2014,DEH1,M0085/LH185,1,11.91249623,NA,19.8,2014-05-05,2014-09-29,147
2014,DEH1,M0088/LH185,2,9.022136640500001,NA,19.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,M0099/LH185,2,11.922658355,NA,19.4,2014-05-05,2014-09-29,147
2014,DEH1,M0099/LH195,2,10.268240745,NA,20.75,2014-05-05,2014-09-29,147
2014,DEH1,M0101/LH185,2,11.89878186,NA,18,2014-05-05,2014-09-29,147
2014,DEH1,M0106/LH185,2,13.077629345,NA,17.9,2014-05-05,2014-09-29,147
2014,DEH1,M0114/LH185,1,11.72780938,NA,17.2,2014-05-05,2014-09-29,147
2014,DEH1,M0118/LH185,2,12.0547284775,NA,19.65,2014-05-05,2014-09-29,147
2014,DEH1,M0143/LH185,2,13.01268094,NA,21.9,2014-05-05,2014-09-29,147
2014,DEH1,M0143/LH195,2,10.750038535,NA,19.05,2014-05-05,2014-09-29,147
2014,DEH1,M0151/LH185,2,10.126057203,NA,17.75,2014-05-05,2014-09-29,147
2014,DEH1,M0154/LH185,2,9.997003492,NA,18.5,2014-05-05,2014-09-29,147
2014,DEH1,M0154/LH195,2,14.18590403,NA,21.35,2014-05-05,2014-09-29,147
2014,DEH1,M0159/LH185,1,11.01448231,NA,17.8,2014-05-05,2014-09-29,147
2014,DEH1,M0163/LH185,2,10.792204605,NA,18.299999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0164/LH195,2,13.791514735,NA,19.65,2014-05-05,2014-09-29,147
2014,DEH1,M0172/LH185,1,10.19996867,NA,16.5,2014-05-05,2014-09-29,147
2014,DEH1,M0186/LH185,2,11.941686104999999,NA,20.799999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0266/LH185,1,8.538881226,NA,15.6,2014-05-05,2014-09-29,147
2014,DEH1,M0269/LH185,1,11.22802179,NA,16.3,2014-05-05,2014-09-29,147
2014,DEH1,M0272/LH185,2,10.440981845,NA,18.45,2014-05-05,2014-09-29,147
2014,DEH1,M0287/LH185,2,13.02871476,NA,18,2014-05-05,2014-09-29,147
2014,DEH1,M0296/LH185,2,12.02837141,NA,18.15,2014-05-05,2014-09-29,147
2014,DEH1,M0297/LH185,2,12.843428375,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0311/LH185,2,10.678090556499999,NA,18.05,2014-05-05,2014-09-29,147
2014,DEH1,M0317/LH185,2,10.829686795,NA,18.55,2014-05-05,2014-09-29,147
2014,DEH1,M0317/LH195,2,13.053374394999999,NA,20.15,2014-05-05,2014-09-29,147
2014,DEH1,M0321/LH195,2,13.36385873,NA,20.05,2014-05-05,2014-09-29,147
2014,DEH1,M0323/LH185,2,12.09052823,NA,19,2014-05-05,2014-09-29,147
2014,DEH1,M0325/LH185,2,9.936997504499999,NA,18.15,2014-05-05,2014-09-29,147
2014,DEH1,M0325/LH195,2,11.428892336,NA,19.6,2014-05-05,2014-09-29,147
2014,DEH1,M0326/LH195,2,12.40864165,NA,19.5,2014-05-05,2014-09-29,147
2014,DEH1,M0346/LH185,2,12.34163234,NA,18.5,2014-05-05,2014-09-29,147
2014,DEH1,M0352/LH185,2,10.15432904,NA,18.25,2014-05-05,2014-09-29,147
2014,DEH1,M0355/LH185,2,7.705418524000001,NA,17.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0369/LH185,2,12.2743345,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,M0378/LH185,1,8.78169302,NA,16.3,2014-05-05,2014-09-29,147
2014,DEH1,M0382/LH195,2,9.104835036499999,NA,18.65,2014-05-05,2014-09-29,147
2014,DEH1,MO44_LH145_0138/LH195,2,11.317997044999998,NA,18.9,2014-05-05,2014-09-29,147
2014,DEH1,MO44_LH145_0143/LH195,2,15.319288010000001,NA,19.6,2014-05-05,2014-09-29,147
2014,DEH1,MOG_LH123HT-059-1-1-1-1-B/LH195,2,10.773678962,NA,21.65,2014-05-05,2014-09-29,147
2014,DEH1,MOG_LH145_0057/PB80,2,12.349909669999999,NA,18.950000000000003,2014-05-05,2014-09-29,147
2014,DEH1,MOG_LH145_0131/LH195,4,11.07062316825,NA,18.8,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-030-1-1-1-1-B/LH195,2,11.921504245000001,NA,19.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-054-1-1-1-1-B/LH195,2,13.009874365,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-055-1-1-1-1-B/LH195,2,11.247008316,NA,19.45,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-071-1-1-1-1-B/LH195,2,13.871163,NA,19.9,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-074-1-1-1-1-B/LH195,2,10.48044626,NA,19.2,2014-05-05,2014-09-29,147
2014,DEH1,MOG_MO45-085-1-1-1-1-B/LH195,2,11.645762985000001,NA,21.2,2014-05-05,2014-09-29,147
2014,DEH1,MOG_NC230-009-1-1-1-1-B/LH195,2,12.832827845,NA,23.25,2014-05-05,2014-09-29,147
2014,DEH1,MOG_OH43_0300/LH195,2,13.531488790000001,NA,23.299999999999997,2014-05-05,2014-09-29,147
2014,DEH1,MOG_PHG83-014-1-1-1-1-B/LH195,2,12.120939651499999,NA,19.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,MOG_PHG83-090-1-1-1-1-B/LH195,2,13.87284919,NA,21.1,2014-05-05,2014-09-29,147
2014,DEH1,MOG_PHG83-129-1-1-1-1-B/LH195,4,11.27216632,NA,19.575,2014-05-05,2014-09-29,147
2014,DEH1,PB80/LH185,2,12.912910775,NA,17.8,2014-05-05,2014-09-29,147
2014,DEH1,PHB47/LH195,2,10.391565155,NA,20.4,2014-05-05,2014-09-29,147
2014,DEH1,PHG39/PHG35,2,12.61586727,NA,18.85,2014-05-05,2014-09-29,147
2014,DEH1,PHG39/PHM49,2,13.160249050000001,NA,20.2,2014-05-05,2014-09-29,147
2014,DEH1,PHG39/PHN82,2,9.7080499685,NA,18.35,2014-05-05,2014-09-29,147
2014,DEH1,PHG39/TX205,2,13.712600905,NA,20.4,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_LH145_0029/PB80,2,11.67796177,NA,21.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_OH43_0142/LH195,2,11.456886885,NA,20.1,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_OH43_0190/LH195,2,9.693046596,NA,20,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_OH43_0215/LH195,2,12.674393155,NA,20.05,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHG47_0048/LH195,2,10.68626297,NA,19.049999999999997,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHG47_0172/LH195,2,9.480931017,NA,19.5,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHG47_0251/LH195,2,11.65294991,NA,19.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHG47_0287/LH195,2,10.969569617000001,NA,17.950000000000003,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHG47_0388/LH195,2,12.25985198,NA,19.950000000000003,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0015/LH195,2,12.774927725,NA,20.55,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0065/LH195,2,11.396228905000001,NA,19.35,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0101/LH195,2,15.000672475,NA,21.9,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0237/LH195,2,13.714669305,NA,20.15,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0275/LH195,2,12.723262775,NA,19.7,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0294/LH195,2,11.54686214,NA,19.55,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0312/LH195,2,12.41513911,NA,19.65,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0323/LH195,2,12.734106865,NA,19.7,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0328/LH195,2,11.4004631255,NA,19.1,2014-05-05,2014-09-29,147
2014,DEH1,PHN11_PHW65_0359/LH195,2,10.30732295,NA,19.450000000000003,2014-05-05,2014-09-29,147
2014,DEH1,PHW52/PHG35,2,10.1018584645,NA,18.1,2014-05-05,2014-09-29,147
2014,DEH1,PHW52/PHM49,2,12.471577865499999,NA,18.6,2014-05-05,2014-09-29,147
2014,DEH1,PHW52/PHN82,2,12.173601335,NA,19.35,2014-05-05,2014-09-29,147
2014,DEH1,PHW52/TX205,2,15.80311298,NA,20.65,2014-05-05,2014-09-29,147
2014,DEH1,PHW65_MOG_0029/LH195,2,12.882454379999999,NA,19.299999999999997,2014-05-05,2014-09-29,147
2014,DEH1,PHW65_MOG_0176/LH195,2,11.0668479715,NA,19.65,2014-05-05,2014-09-29,147
2014,DEH1,PHW65_MOG_0271/PB80,2,11.1487932,NA,19.200000000000003,2014-05-05,2014-09-29,147
2014,DEH1,TX130_RP/LH185,1,14.4724819,NA,20.2,2014-05-05,2014-09-29,147
2014,DEH1,TX204/LH185,3,12.662354986666667,NA,19.566666666666666,2014-05-05,2014-09-29,147
2014,DEH1,TX303/LH195,2,11.9403971015,NA,21.6,2014-05-05,2014-09-29,147
2014,DEH1,TX714/LH185,1,10.65102903,NA,17.8,2014-05-05,2014-09-29,147
2014,DEH1,TX740/LH185,2,12.860818649999999,NA,21.6,2014-05-05,2014-09-29,147
2014,DEH1,TX772/LH185,2,13.21904847,NA,20.2,2014-05-05,2014-09-29,147
2014,DEH1,TX772W/LH185,3,11.967548553333334,NA,20.3,2014-05-05,2014-09-29,147
2014,DEH1,TX785/LH195,2,13.770632175,NA,22.45,2014-05-05,2014-09-29,147
2014,DEH1,TX951/LH195,2,12.53619278,NA,20.45,2014-05-05,2014-09-29,147
2014,DEH1,W10004_0032/LH185,1,9.709473862,NA,18,2014-05-05,2014-09-29,147
2014,DEH1,W10004_0076/LH185,2,11.909644685,NA,17.9,2014-05-05,2014-09-29,147
2014,DEH1,W10004_0097/LH195,2,8.698147776999999,NA,18.6,2014-05-05,2014-09-29,147
2014,DEH1,W10004_0227/LH195,2,11.84387192,NA,18.75,2014-05-05,2014-09-29,147
2014,DEH1,W10005_0029/LH185,1,13.91795673,NA,20.6,2014-05-05,2014-09-29,147
2014,DEH1,W10005_0037/LH185,2,9.384076087499999,NA,17.4,2014-05-05,2014-09-29,147
2014,DEH1,W10005_0107/LH185,3,10.742218348,NA,17.599999999999998,2014-05-05,2014-09-29,147
2014,DEH1,W10005_0147/LH185,1,13.1016145,NA,18.8,2014-05-05,2014-09-29,147
2014,DEH1,W10005_0220/LH185,1,10.15223067,NA,20.5,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0002/LH185,2,15.54898496,NA,19.6,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0006/LH185,2,14.114233335,NA,19.85,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0007/LH185,1,12.76110844,NA,20.8,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0012/LH195,2,10.884218279999999,NA,22.6,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0014/LH185,2,11.251486100000001,NA,19.55,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0019/LH195,2,10.91727141,NA,21,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0020/LH185,2,15.40152177,NA,19.9,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0021/LH195,2,12.78434043,NA,20.45,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0022/LH185,2,11.934131955,NA,20.15,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0022/LH195,2,14.02280046,NA,22.65,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0026/LH185,2,13.737698954999999,NA,20.35,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0026/LH195,2,13.26803425,NA,21.4,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0027/LH195,2,14.491652040000002,NA,23.2,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0028/LH185,2,10.7073253945,NA,20.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0032/LH185,2,10.284757940999999,NA,21,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0034/LH185,1,18.43474312,NA,19.9,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0036/LH185,2,13.78755031,NA,20.45,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0037/LH185,2,12.36817676,NA,20.950000000000003,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0037/LH195,2,10.289486778,NA,21.15,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0039/LH185,2,13.11886988,NA,20.299999999999997,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0044/LH195,2,9.979504555,NA,21,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0045/LH185,2,13.316637830000001,NA,19.75,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0046/LH185,2,14.760581080000001,NA,24.35,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0046/LH195,2,12.931470135,NA,23.1,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0047/LH195,2,10.379626903999998,NA,20.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0052/LH185,2,12.150369346000002,NA,21.65,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0055/LH185,2,13.292652669999999,NA,22,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0056/LH185,2,13.662472260000001,NA,21,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0059/LH185,2,11.957311489999999,NA,20.65,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0062/LH195,2,11.353260959,NA,20.799999999999997,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0063/LH185,2,11.771459298,NA,19.4,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0067/LH185,2,14.0370694,NA,19.8,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0072/LH185,2,11.754975824999999,NA,19.5,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0073/LH185,2,10.830387505000001,NA,22.4,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0074/LH195,2,10.612141677499999,NA,20.450000000000003,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0078/LH185,2,13.58027972,NA,20.85,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0079/LH185,2,16.158277679999998,NA,22.05,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0080/LH185,2,13.032244519999999,NA,20.15,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0082/LH185,2,12.5231304,NA,19.9,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0087/LH185,2,15.938705375,NA,22.2,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0088/LH195,2,12.52283813,NA,20.5,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0090/LH185,2,12.2494463,NA,21.25,2014-05-05,2014-09-29,147
2014,DEH1,Z013E0093/LH185,2,14.87786517,NA,21.15,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0003/LH185,2,15.016192945,NA,20,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0005/LH185,2,11.5116207115,NA,18.75,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0006/LH185,2,11.562839754999999,NA,19.35,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0008/LH185,1,10.42340797,NA,18.9,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0009/LH185,2,10.247699168,NA,19.4,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0017/LH185,1,11.35549797,NA,17.2,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0017/LH195,2,13.562743314999999,NA,19.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0023/LH185,2,13.252056635999999,NA,18.35,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0025/LH185,2,11.410913775000001,NA,18.75,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0027/LH185,2,10.6058990125,NA,19.65,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0042/LH185,2,13.393977885,NA,19.700000000000003,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0046/LH185,2,10.002995097,NA,19.55,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0048/LH185,2,13.171782610000001,NA,20.35,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0048/LH195,2,11.440077415,NA,21.1,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0051/LH185,1,13.62443924,NA,19.2,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0053/LH185,2,10.701195145,NA,18.6,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0059/LH185,2,13.862964354999999,NA,20.6,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0073/LH185,2,11.914077500000001,NA,19.3,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0073/LH195,2,11.940179765,NA,20.85,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0077/LH185,2,10.170419065,NA,18.15,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0077/LH195,2,10.844131852499999,NA,22.85,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0095/LH185,1,14.82575806,NA,27,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0095/LH195,2,10.4107802565,NA,20.65,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0097/LH185,2,10.972439895499999,NA,17.95,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0097/LH195,2,11.516473195,NA,19.75,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0108/LH185,2,12.671995015,NA,18.75,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0108/LH195,2,11.56315826,NA,19.299999999999997,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0110/LH185,2,14.19519683,NA,18.2,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0110/LH195,2,12.100532975,NA,19.45,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0114/LH185,2,10.523417949999999,NA,18.95,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0121/LH185,2,11.46746119,NA,19.55,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0121/LH195,2,12.510652575,NA,21.3,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0123/LH185,2,13.482469285,NA,20.85,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0130/LH185,2,7.6837115990000004,NA,18.549999999999997,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0142/LH185,2,13.62054226,NA,20.2,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0149/LH185,2,12.100473019999999,NA,22.15,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0155/LH195,2,12.044491415,NA,22.05,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0160/LH185,1,11.68086577,NA,20.8,2014-05-05,2014-09-29,147
2014,DEH1,Z022E0166/LH185,2,14.172976550000001,NA,19.4,2014-05-05,2014-09-29,147
2014,GAH1,B37/C103,2,4.688355239,NA,16.65,2014-04-04,2014-09-11,160
2014,GAH1,B37/H95,2,5.977129123,NA,14.7,2014-04-04,2014-09-11,160
2014,GAH1,B73/MO17,2,6.2852283505,NA,16.15,2014-04-04,2014-09-11,160
2014,GAH1,B73/PHG35,2,9.725063249,NA,15.600000000000001,2014-04-04,2014-09-11,160
2014,GAH1,B73/PHM49,2,8.045371833499999,NA,14.75,2014-04-04,2014-09-11,160
2014,GAH1,B73/PHN82,2,0.915960821,NA,15.7,2014-04-04,2014-09-11,160
2014,GAH1,B73/TX205,2,8.6763730295,NA,15.6,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-032-1-1-1-1/LH195,2,6.2154037165,NA,15.5,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-041-1-1-1-1/LH195,2,8.2526342735,NA,14.55,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-041-1-1-1-1/PB80,2,4.3187544785,NA,15.45,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-126-1-1-1-1/LH195,2,7.044976241500001,NA,16.15,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-127-1-1-1-1/PB80,2,3.851333194,NA,16.5,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-128-1-1-1-1/LH195,2,7.9626154365,NA,15.65,2014-04-04,2014-09-11,160
2014,GAH1,B73_NC230-128-1-1-1-1/PB80,2,3.6587187285000002,NA,15.95,2014-04-04,2014-09-11,160
