dataset,removed_column
training_model_monthly_weather,mean_dayl_s_Jan
training_model_monthly_weather,mean_srad_w_m_2_Jan
training_model_monthly_weather,mean_tmax_deg_c_Jan
training_model_monthly_weather,mean_tmin_deg_c_Jan
training_model_monthly_weather,mean_vp_pa_Jan
training_model_monthly_weather,sum_prcp_mm_day_Jan
training_model_monthly_weather,sum_swe_kg_m_2_Jan
training_model_monthly_weather,mean_dayl_s_Feb
training_model_monthly_weather,mean_srad_w_m_2_Feb
training_model_monthly_weather,mean_tmax_deg_c_Feb
training_model_monthly_weather,mean_tmin_deg_c_Feb
training_model_monthly_weather,mean_vp_pa_Feb
training_model_monthly_weather,sum_prcp_mm_day_Feb
training_model_monthly_weather,sum_swe_kg_m_2_Feb
training_model_monthly_weather,mean_dayl_s_Mar
training_model_monthly_weather,mean_srad_w_m_2_Mar
training_model_monthly_weather,mean_tmax_deg_c_Mar
training_model_monthly_weather,mean_tmin_deg_c_Mar
training_model_monthly_weather,mean_vp_pa_Mar
training_model_monthly_weather,sum_prcp_mm_day_Mar
training_model_monthly_weather,sum_swe_kg_m_2_Mar
training_model_monthly_weather,mean_dayl_s_Apr
training_model_monthly_weather,mean_srad_w_m_2_Apr
training_model_monthly_weather,mean_tmax_deg_c_Apr
training_model_monthly_weather,mean_tmin_deg_c_Apr
training_model_monthly_weather,mean_vp_pa_Apr
training_model_monthly_weather,sum_prcp_mm_day_Apr
training_model_monthly_weather,sum_swe_kg_m_2_Apr
training_model_monthly_weather,mean_dayl_s_May
training_model_monthly_weather,mean_srad_w_m_2_May
training_model_monthly_weather,mean_tmax_deg_c_May
training_model_monthly_weather,mean_tmin_deg_c_May
training_model_monthly_weather,mean_vp_pa_May
training_model_monthly_weather,sum_prcp_mm_day_May
training_model_monthly_weather,sum_swe_kg_m_2_May
training_model_monthly_weather,mean_dayl_s_Jun
training_model_monthly_weather,mean_srad_w_m_2_Jun
training_model_monthly_weather,mean_tmax_deg_c_Jun
training_model_monthly_weather,mean_tmin_deg_c_Jun
training_model_monthly_weather,mean_vp_pa_Jun
training_model_monthly_weather,sum_prcp_mm_day_Jun
training_model_monthly_weather,sum_swe_kg_m_2_Jun
training_model_monthly_weather,mean_dayl_s_Jul
training_model_monthly_weather,mean_srad_w_m_2_Jul
training_model_monthly_weather,mean_tmax_deg_c_Jul
training_model_monthly_weather,mean_tmin_deg_c_Jul
training_model_monthly_weather,mean_vp_pa_Jul
training_model_monthly_weather,sum_prcp_mm_day_Jul
training_model_monthly_weather,sum_swe_kg_m_2_Jul
training_model_monthly_weather,mean_dayl_s_Aug
